ImageID,NAME_2,mean,start_dt
20180711T180656_20180718T190811,Lima,1.3282747447239664e-4,2018-07-11T18:06:56Z
20180712T174753_20180719T105625,Lima,1.0510284243477267e-4,2018-07-12T17:47:53Z
20180713T172849_20180719T201407,Lima,1.2457680877148356e-4,2018-07-13T17:28:49Z
20180714T185115_20180720T204318,Lima,8.556128139770683e-5,2018-07-14T18:51:15Z
20180715T183211_20180721T202014,Lima,5.6010134336388104e-5,2018-07-15T18:32:11Z
20180716T181307_20180722T200431,Lima,9.970016780250552e-5,2018-07-16T18:13:07Z
20180717T175402_20180723T193754,Lima,1.4466409575472606e-4,2018-07-17T17:54:02Z
20180718T173458_20180724T193016,Lima,8.79455495576527e-5,2018-07-18T17:34:58Z
20180719T171554_20180725T185631,Lima,9.779727429814179e-5,2018-07-19T17:15:54Z
20180720T183819_20180726T202718,Lima,1.0765965655685758e-4,2018-07-20T18:38:19Z
20180721T181914_20180727T200538,Lima,1.0108865143636811e-4,2018-07-21T18:19:14Z
20180722T180010_20180728T195116,Lima,6.12264157274125e-5,2018-07-22T18:00:10Z
20180723T174105_20180729T195219,Lima,8.93067154895266e-5,2018-07-23T17:41:05Z
20180724T172200_20180730T190909,Lima,8.252099137270125e-5,2018-07-24T17:22:00Z
20180725T184425_20180731T203225,Lima,1.0003387951654482e-4,2018-07-25T18:44:25Z
20180726T182520_20180801T200218,Lima,1.0419254104006547e-4,2018-07-26T18:25:20Z
20180727T180615_20180803T111512,Lima,1.0149376064774862e-4,2018-07-27T18:06:15Z
20180728T174710_20180803T195211,Lima,7.900664916465855e-5,2018-07-28T17:47:10Z
20180729T172805_20180804T185352,Lima,5.502489088538465e-5,2018-07-29T17:28:05Z
20180730T185029_20180805T203721,Lima,9.666750747250895e-5,2018-07-30T18:50:29Z
20180731T183124_20180806T201722,Lima,1.125191433251647e-4,2018-07-31T18:31:24Z
20180801T181218_20180808T115538,Lima,1.1778274322134224e-4,2018-08-01T18:12:18Z
20180802T175313_20180808T214252,Lima,1.0962565993809966e-4,2018-08-02T17:53:13Z
20180803T173407_20180809T190038,Lima,9.486332177528959e-5,2018-08-03T17:34:07Z
NA,NA,NA,2018-08-04T12:00:00Z
NA,NA,NA,2018-08-05T12:00:00Z
20180806T181819_20180812T200133,Lima,9.240780212759808e-5,2018-08-06T18:18:19Z
20180807T175913_20180813T193605,Lima,9.690749772447684e-5,2018-08-07T17:59:13Z
20180808T174007_20180814T193039,Lima,1.1432408821082692e-4,2018-08-08T17:40:07Z
20180809T172101_20180815T190834,Lima,9.933725645896126e-5,2018-08-09T17:21:01Z
20180810T184325_20180816T202859,Lima,1.0342389049964524e-4,2018-08-10T18:43:25Z
NA,NA,NA,2018-08-11T12:00:00Z
20180812T180512_20180818T195958,Lima,1.0967630914724559e-4,2018-08-12T18:05:12Z
20180813T174606_20180819T192235,Lima,1.03802116312069e-4,2018-08-13T17:46:06Z
20180814T172700_20180820T191524,Lima,1.0043796327026473e-4,2018-08-14T17:27:00Z
20180815T184923_20180821T210125,Lima,1.0385334176543884e-4,2018-08-15T18:49:23Z
20180816T183016_20180822T211052,Lima,1.3368416419400902e-4,2018-08-16T18:30:16Z
20180817T181110_20180823T200929,Lima,1.3157981272403978e-4,2018-08-17T18:11:10Z
20180818T175203_20180824T195325,Lima,1.0784527980915522e-4,2018-08-18T17:52:03Z
20180819T173256_20180825T191144,Lima,5.319801952615918e-5,2018-08-19T17:32:56Z
20180820T171350_20180826T185101,Lima,1.0084864246152276e-4,2018-08-20T17:13:50Z
NA,NA,NA,2018-08-21T12:00:00Z
20180822T181705_20180828T195736,Lima,1.2544229921068045e-4,2018-08-22T18:17:05Z
20180823T175759_20180829T195218,Lima,1.0366275914538277e-4,2018-08-23T17:57:59Z
20180824T173852_20180830T192932,Lima,7.673160086747437e-5,2018-08-24T17:38:52Z
20180825T171945_20180831T190726,Lima,8.435187045865233e-5,2018-08-25T17:19:45Z
20180826T184207_20180901T204245,Lima,6.288500449780255e-5,2018-08-26T18:42:07Z
