ImageID,NAME_2,mean,start_dt
20180711T112058_20180717T130729,Greater London,8.936249749225006e-5,2018-07-11T12:11:42Z
20180712T110154_20180718T192749,Greater London,1.1324084772776858e-4,2018-07-12T11:52:39Z
20180713T104250_20180719T122110,Greater London,1.2165981880054552e-4,2018-07-13T11:33:35Z
20180714T102346_20180820T112941,Greater London,9.381373943529105e-5,2018-07-14T11:14:31Z
20180715T114612_20180721T134158,Greater London,1.1937849406139685e-4,2018-07-15T11:46:12Z
20180716T112708_20180722T133053,Greater London,1.9220322289365173e-4,2018-07-16T11:27:08Z
20180717T110804_20180723T130647,Greater London,2.8009793823002838e-5,2018-07-17T11:08:04Z
20180718T123029_20180724T141955,Greater London,1.8911353818961823e-4,2018-07-18T12:30:29Z
20180719T102955_20180820T120913,Greater London,7.428083230071149e-5,2018-07-19T10:29:55Z
NA,NA,NA,2018-07-20T12:00:00Z
20180721T113316_20180727T131634,Greater London,1.3550265964700533e-4,2018-07-21T11:33:16Z
20180722T111411_20180730T073319,Greater London,9.674258295433135e-5,2018-07-22T11:14:11Z
20180723T105507_20180729T123428,Greater London,7.243876595484626e-5,2018-07-23T11:45:51Z
20180724T103602_20180820T123853,Greater London,7.974434770161332e-5,2018-07-24T10:36:02Z
20180725T115827_20180731T193358,Greater London,1.9278398760651396e-4,2018-07-25T11:58:27Z
20180726T113922_20180801T133108,Greater London,8.093026192887152e-5,2018-07-26T11:39:22Z
20180727T112017_20180803T110458,Greater London,1.5747414556712745e-4,2018-07-27T11:20:17Z
20180728T110112_20180803T193534,Greater London,2.3936087493399504e-5,2018-07-28T11:51:56Z
NA,NA,NA,2018-07-29T12:00:00Z
NA,NA,NA,2018-07-30T12:00:00Z
20180731T114525_20180806T132929,Greater London,7.720393549199004e-5,2018-07-31T11:45:25Z
20180801T112620_20180807T155605,Greater London,1.0372975813227733e-4,2018-08-01T11:26:20Z
20180802T110714_20180808T130759,Greater London,1.3739677161638347e-4,2018-08-02T11:57:59Z
20180803T104809_20180809T124503,Greater London,2.274908637688185e-4,2018-08-03T11:38:53Z
20180804T102903_20180810T121853,Greater London,5.4163518244554404e-5,2018-08-04T11:19:48Z
20180805T115127_20180811T131759,Greater London,1.1293655168904223e-4,2018-08-05T11:51:27Z
20180806T113221_20180812T132509,Greater London,1.6605316113704998e-4,2018-08-06T11:32:21Z
20180807T111315_20180813T130628,Greater London,1.4029134600185438e-4,2018-08-07T11:13:15Z
20180808T105409_20180814T124845,Greater London,9.200789432214951e-5,2018-08-08T11:44:54Z
NA,NA,NA,2018-08-09T12:00:00Z
20180810T115727_20180816T134618,Greater London,5.457347088185747e-5,2018-08-10T11:57:27Z
NA,NA,NA,2018-08-11T12:00:00Z
NA,NA,NA,2018-08-12T12:00:00Z
20180813T124138_20180819T144521,Greater London,5.177282218937762e-5,2018-08-13T12:41:38Z
20180814T122231_20180820T161723,Greater London,1.0179372475249693e-4,2018-08-14T12:22:31Z
NA,NA,NA,2018-08-15T12:00:00Z
NA,NA,NA,2018-08-16T12:00:00Z
NA,NA,NA,2018-08-17T12:00:00Z
NA,NA,NA,2018-08-18T12:00:00Z
NA,NA,NA,2018-08-19T12:00:00Z
NA,NA,NA,2018-08-20T12:00:00Z
20180821T115014_20180827T140434,Greater London,9.085206743137384e-5,2018-08-21T11:50:14Z
NA,NA,NA,2018-08-22T12:00:00Z
20180823T111201_20180829T130558,Greater London,5.913882114829611e-5,2018-08-23T11:12:01Z
NA,NA,NA,2018-08-24T12:00:00Z
20180825T121516_20180831T142248,Greater London,5.927821246727579e-5,2018-08-25T12:15:16Z
NA,NA,NA,2018-08-26T12:00:00Z
NA,NA,NA,2018-08-27T12:00:00Z
NA,NA,NA,2018-08-28T12:00:00Z
NA,NA,NA,2018-08-29T12:00:00Z
NA,NA,NA,2018-08-30T12:00:00Z
NA,NA,NA,2018-08-31T12:00:00Z
NA,NA,NA,2018-09-01T12:00:00Z
NA,NA,NA,2018-09-02T12:00:00Z
NA,NA,NA,2018-09-03T12:00:00Z
NA,NA,NA,2018-09-04T12:00:00Z
20180905T102625_20180911T210356,Greater London,7.34543937142007e-5,2018-09-05T10:26:25Z
