ImageID,NAME_2,mean,start_dt
20180711T112058_20180717T130729,Paris,4.976448996312244e-5,2018-07-11T11:20:58Z
20180712T110154_20180718T192749,Paris,8.430387423449393e-5,2018-07-12T11:01:54Z
NA,NA,NA,2018-07-13T12:00:00Z
20180714T102346_20180820T112941,Paris,7.15498382241636e-5,2018-07-14T10:23:46Z
20180715T114612_20180721T134158,Paris,8.009772994903746e-5,2018-07-15T11:46:12Z
20180716T112708_20180722T133053,Paris,1.1989776252317407e-4,2018-07-16T11:27:08Z
NA,NA,NA,2018-07-17T12:00:00Z
NA,NA,NA,2018-07-18T12:00:00Z
20180719T102955_20180820T120913,Paris,1.1534745679264904e-4,2018-07-19T11:20:40Z
NA,NA,NA,2018-07-20T12:00:00Z
NA,NA,NA,2018-07-21T12:00:00Z
20180722T111411_20180730T073319,Paris,6.620844942517579e-5,2018-07-22T11:14:11Z
20180723T105507_20180729T123428,Paris,2.092128270388965e-4,2018-07-23T11:45:51Z
20180724T103602_20180820T123853,Paris,1.1820146717128762e-4,2018-07-24T10:36:02Z
NA,NA,NA,2018-07-25T12:00:00Z
20180726T113922_20180801T133108,Paris,1.9162012333726283e-4,2018-07-26T11:39:22Z
20180727T112017_20180803T110458,Paris,1.3504977822162724e-4,2018-07-27T11:20:17Z
20180728T110112_20180803T193534,Paris,3.7658327016588604e-5,2018-07-28T11:51:56Z
20180729T104206_20180804T122207,Paris,5.035018608408607e-5,2018-07-29T10:42:06Z
NA,NA,NA,2018-07-30T12:00:00Z
NA,NA,NA,2018-07-31T12:00:00Z
20180801T112620_20180807T155605,Paris,2.4051456215379963e-4,2018-08-01T11:26:20Z
20180802T110714_20180808T130759,Paris,1.480076976222394e-4,2018-08-02T11:57:59Z
20180803T104809_20180809T124503,Paris,1.506445388503515e-4,2018-08-03T11:38:53Z
20180804T102903_20180810T121853,Paris,6.979872832112017e-5,2018-08-04T11:19:48Z
20180805T115127_20180811T131759,Paris,7.455631026687615e-5,2018-08-05T11:51:27Z
20180806T113221_20180812T132509,Paris,1.3153748251998874e-4,2018-08-06T11:32:21Z
20180807T111315_20180813T130628,Paris,7.140409742262011e-5,2018-08-07T11:13:15Z
NA,NA,NA,2018-08-08T12:00:00Z
NA,NA,NA,2018-08-09T12:00:00Z
NA,NA,NA,2018-08-10T12:00:00Z
NA,NA,NA,2018-08-11T12:00:00Z
20180812T111914_20180818T140029,Paris,5.20469754888846e-5,2018-08-12T11:19:14Z
20180813T124138_20180819T144521,Paris,2.141731238225475e-5,2018-08-13T12:41:38Z
NA,NA,NA,2018-08-14T12:00:00Z
20180815T120325_20180821T141933,Paris,5.591651563207954e-5,2018-08-15T12:03:25Z
20180816T114418_20180822T133740,Paris,9.043805138009818e-5,2018-08-16T11:44:18Z
20180817T112512_20180823T133927,Paris,1.0150889033564872e-4,2018-08-17T11:25:12Z
20180818T110605_20180824T125459,Paris,6.21274985194315e-5,2018-08-18T11:56:50Z
20180819T104659_20180825T124544,Paris,4.60487998949899e-5,2018-08-19T11:37:43Z
NA,NA,NA,2018-08-20T12:00:00Z
NA,NA,NA,2018-08-21T12:00:00Z
20180822T113108_20180828T132347,Paris,2.1435402572719914e-4,2018-08-22T11:31:08Z
20180823T111201_20180829T130558,Paris,6.267479508777375e-5,2018-08-23T12:02:45Z
NA,NA,NA,2018-08-24T12:00:00Z
NA,NA,NA,2018-08-25T12:00:00Z
NA,NA,NA,2018-08-26T12:00:00Z
NA,NA,NA,2018-08-27T12:00:00Z
20180828T111755_20180903T131034,Paris,1.3758604520019985e-4,2018-08-28T11:17:55Z
NA,NA,NA,2018-08-29T12:00:00Z
NA,NA,NA,2018-08-30T12:00:00Z
NA,NA,NA,2018-08-31T12:00:00Z
NA,NA,NA,2018-09-01T12:00:00Z
NA,NA,NA,2018-09-02T12:00:00Z
NA,NA,NA,2018-09-03T12:00:00Z
NA,NA,NA,2018-09-04T12:00:00Z
NA,NA,NA,2018-09-05T12:00:00Z
NA,NA,NA,2018-09-06T12:00:00Z
NA,NA,NA,2018-09-07T12:00:00Z
NA,NA,NA,2018-09-08T12:00:00Z
NA,NA,NA,2018-09-09T12:00:00Z
20180910T103216_20180916T123127,Paris,1.1315082818648718e-4,2018-09-10T10:32:16Z
20180911T115438_20180917T141207,Paris,9.860692903836711e-5,2018-09-11T11:54:38Z
NA,NA,NA,2018-09-12T12:00:00Z
NA,NA,NA,2018-09-13T12:00:00Z
NA,NA,NA,2018-09-14T12:00:00Z
20180915T103807_20180921T123052,Paris,2.4984901342964597e-4,2018-09-15T11:28:51Z
20180916T120028_20180922T135635,Paris,1.4463312065798094e-4,2018-09-16T12:00:28Z
NA,NA,NA,2018-09-17T12:00:00Z
NA,NA,NA,2018-09-18T12:00:00Z
20180919T110304_20180925T125538,Paris,6.218879302699056e-5,2018-09-19T11:53:48Z
20180920T104356_20180926T123121,Paris,9.760820983361902e-5,2018-09-20T11:34:40Z
20180921T120617_20180927T140125,Paris,6.430590862223067e-5,2018-09-21T12:06:17Z
NA,NA,NA,2018-09-22T12:00:00Z
NA,NA,NA,2018-09-23T12:00:00Z
20180924T125022_20180930T145901,Paris,8.039185922825709e-5,2018-09-24T12:50:22Z
20180925T123114_20181001T143407,Paris,1.3596773013190502e-4,2018-09-25T12:31:14Z
20180926T103036_20181002T121856,Paris,2.5366817313700064e-4,2018-09-26T10:30:36Z
20180927T115257_20181003T135436,Paris,6.677338167159982e-4,2018-09-27T11:52:57Z
