id,hour,name,unit,average,subtitle,parameter,displayName,parameterId,measurement_count
121992,2017-12-01 00:00:00,4115,µg/m³,30.25,FR04146,no2,NO₂ mass,5,1
121992,2017-12-01 01:00:00,4115,µg/m³,24.5,FR04146,no2,NO₂ mass,5,1
121992,2017-12-01 02:00:00,4115,µg/m³,19.75,FR04146,no2,NO₂ mass,5,1
121992,2017-12-01 03:00:00,4115,µg/m³,19.5,FR04146,no2,NO₂ mass,5,1
121992,2017-12-01 04:00:00,4115,µg/m³,22,FR04146,no2,NO₂ mass,5,1
121992,2017-12-01 05:00:00,4115,µg/m³,31.5,FR04146,no2,NO₂ mass,5,1
121992,2017-12-01 06:00:00,4115,µg/m³,40.25,FR04146,no2,NO₂ mass,5,1
121992,2017-12-01 07:00:00,4115,µg/m³,57.75,FR04146,no2,NO₂ mass,5,1
121992,2017-12-01 08:00:00,4115,µg/m³,51.75,FR04146,no2,NO₂ mass,5,1
121992,2017-12-01 09:00:00,4115,µg/m³,54.25,FR04146,no2,NO₂ mass,5,1
121992,2017-12-01 10:00:00,4115,µg/m³,46,FR04146,no2,NO₂ mass,5,1
121992,2017-12-01 11:00:00,4115,µg/m³,44.5,FR04146,no2,NO₂ mass,5,1
121992,2017-12-01 12:00:00,4115,µg/m³,50,FR04146,no2,NO₂ mass,5,1
121992,2017-12-01 13:00:00,4115,µg/m³,48,FR04146,no2,NO₂ mass,5,1
121992,2017-12-01 14:00:00,4115,µg/m³,43.5,FR04146,no2,NO₂ mass,5,1
121992,2017-12-01 15:00:00,4115,µg/m³,40.25,FR04146,no2,NO₂ mass,5,1
121992,2017-12-01 16:00:00,4115,µg/m³,50.75,FR04146,no2,NO₂ mass,5,1
121992,2017-12-01 17:00:00,4115,µg/m³,51.25,FR04146,no2,NO₂ mass,5,1
121992,2017-12-01 18:00:00,4115,µg/m³,52.75,FR04146,no2,NO₂ mass,5,1
121992,2017-12-01 19:00:00,4115,µg/m³,58,FR04146,no2,NO₂ mass,5,1
121992,2017-12-01 23:00:00,4115,µg/m³,64.5,FR04146,no2,NO₂ mass,5,1
121992,2017-12-02 00:00:00,4115,µg/m³,60.25,FR04146,no2,NO₂ mass,5,1
121992,2017-12-02 01:00:00,4115,µg/m³,53.25,FR04146,no2,NO₂ mass,5,1
121992,2017-12-02 02:00:00,4115,µg/m³,43.5,FR04146,no2,NO₂ mass,5,1
121992,2017-12-02 03:00:00,4115,µg/m³,38.75,FR04146,no2,NO₂ mass,5,1
121992,2017-12-02 04:00:00,4115,µg/m³,42,FR04146,no2,NO₂ mass,5,1
121992,2017-12-02 05:00:00,4115,µg/m³,43,FR04146,no2,NO₂ mass,5,1
121992,2017-12-02 06:00:00,4115,µg/m³,45,FR04146,no2,NO₂ mass,5,1
121992,2017-12-02 07:00:00,4115,µg/m³,46.75,FR04146,no2,NO₂ mass,5,1
121992,2017-12-02 08:00:00,4115,µg/m³,41.5,FR04146,no2,NO₂ mass,5,1
121992,2017-12-02 09:00:00,4115,µg/m³,39.5,FR04146,no2,NO₂ mass,5,1
121992,2017-12-02 10:00:00,4115,µg/m³,37.25,FR04146,no2,NO₂ mass,5,1
121992,2017-12-02 11:00:00,4115,µg/m³,35.5,FR04146,no2,NO₂ mass,5,1
121992,2017-12-02 12:00:00,4115,µg/m³,40,FR04146,no2,NO₂ mass,5,1
121992,2017-12-02 13:00:00,4115,µg/m³,42.5,FR04146,no2,NO₂ mass,5,1
121992,2017-12-02 14:00:00,4115,µg/m³,42.5,FR04146,no2,NO₂ mass,5,1
121992,2017-12-02 15:00:00,4115,µg/m³,43.75,FR04146,no2,NO₂ mass,5,1
121992,2017-12-02 16:00:00,4115,µg/m³,49.25,FR04146,no2,NO₂ mass,5,1
121992,2017-12-02 17:00:00,4115,µg/m³,52.75,FR04146,no2,NO₂ mass,5,1
121992,2017-12-02 18:00:00,4115,µg/m³,54.5,FR04146,no2,NO₂ mass,5,1
121992,2017-12-02 19:00:00,4115,µg/m³,56.5,FR04146,no2,NO₂ mass,5,1
121992,2017-12-02 20:00:00,4115,µg/m³,56.75,FR04146,no2,NO₂ mass,5,1
121992,2017-12-02 21:00:00,4115,µg/m³,55.5,FR04146,no2,NO₂ mass,5,1
121992,2017-12-03 06:00:00,4115,µg/m³,34.5,FR04146,no2,NO₂ mass,5,1
121992,2017-12-03 07:00:00,4115,µg/m³,33.25,FR04146,no2,NO₂ mass,5,1
121992,2017-12-03 08:00:00,4115,µg/m³,33,FR04146,no2,NO₂ mass,5,1
121992,2017-12-03 09:00:00,4115,µg/m³,30.75,FR04146,no2,NO₂ mass,5,1
121992,2017-12-03 10:00:00,4115,µg/m³,29,FR04146,no2,NO₂ mass,5,1
121992,2017-12-03 11:00:00,4115,µg/m³,31.25,FR04146,no2,NO₂ mass,5,1
121992,2017-12-03 12:00:00,4115,µg/m³,29.25,FR04146,no2,NO₂ mass,5,1
121992,2017-12-03 13:00:00,4115,µg/m³,33,FR04146,no2,NO₂ mass,5,1
121992,2017-12-03 14:00:00,4115,µg/m³,33.75,FR04146,no2,NO₂ mass,5,1
121992,2017-12-03 15:00:00,4115,µg/m³,35,FR04146,no2,NO₂ mass,5,1
121992,2017-12-03 16:00:00,4115,µg/m³,40.25,FR04146,no2,NO₂ mass,5,1
121992,2017-12-03 17:00:00,4115,µg/m³,39.75,FR04146,no2,NO₂ mass,5,1
121992,2017-12-03 18:00:00,4115,µg/m³,41.25,FR04146,no2,NO₂ mass,5,1
121992,2017-12-03 19:00:00,4115,µg/m³,43,FR04146,no2,NO₂ mass,5,1
121992,2017-12-03 20:00:00,4115,µg/m³,43.75,FR04146,no2,NO₂ mass,5,1
121992,2017-12-03 21:00:00,4115,µg/m³,41.5,FR04146,no2,NO₂ mass,5,1
121992,2017-12-03 23:00:00,4115,µg/m³,40.25,FR04146,no2,NO₂ mass,5,1
121992,2017-12-04 00:00:00,4115,µg/m³,36,FR04146,no2,NO₂ mass,5,1
121992,2017-12-04 01:00:00,4115,µg/m³,29.75,FR04146,no2,NO₂ mass,5,1
121992,2017-12-04 02:00:00,4115,µg/m³,29.25,FR04146,no2,NO₂ mass,5,1
121992,2017-12-04 03:00:00,4115,µg/m³,29,FR04146,no2,NO₂ mass,5,1
121992,2017-12-04 04:00:00,4115,µg/m³,26.75,FR04146,no2,NO₂ mass,5,1
121992,2017-12-04 05:00:00,4115,µg/m³,26.5,FR04146,no2,NO₂ mass,5,1
121992,2017-12-04 06:00:00,4115,µg/m³,32,FR04146,no2,NO₂ mass,5,1
121992,2017-12-04 07:00:00,4115,µg/m³,43.75,FR04146,no2,NO₂ mass,5,1
121992,2017-12-04 08:00:00,4115,µg/m³,62.25,FR04146,no2,NO₂ mass,5,1
